micro;time;excel time;peak;average;RMS
micro;12:02:43.964;44449.50189773148;37.730;26.602;28.286
micro;12:02:44.082;44449.501899097224;35.269;24.057;25.879
micro;12:02:44.222;44449.501900717594;35.563;22.593;24.494
micro;12:02:44.333;44449.50190200232;35.269;23.458;25.369
micro;12:02:44.458;44449.50190344907;36.650;23.129;25.136
micro;12:02:44.598;44449.50190506944;36.521;22.960;24.965
micro;12:02:44.718;44449.50190645833;35.563;22.969;24.932
micro;12:02:44.859;44449.50190809028;37.385;23.695;25.709
micro;12:02:44.984;44449.50190953704;35.707;24.183;26.122
micro;12:02:45.096;44449.501910833336;44.350;26.091;28.453
micro;12:02:45.235;44449.50191244213;35.707;24.494;26.213
micro;12:02:45.360;44449.50191388889;38.988;25.207;27.190
micro;12:02:45.502;44449.50191553241;37.147;24.857;26.766
micro;12:02:45.622;44449.5019169213;36.391;22.668;24.855
micro;12:02:45.742;44449.50191831018;36.777;23.052;25.118
micro;12:02:45.884;44449.501919953706;36.124;24.053;25.897
micro;12:02:46.006;44449.501921365736;35.707;24.151;26.050
micro;12:02:46.141;44449.50192292824;38.062;24.734;26.826
micro;12:02:46.261;44449.50192431713;35.563;23.959;25.939
micro;12:02:46.380;44449.50192569444;35.848;22.591;24.487
micro;12:02:46.524;44449.50192736111;35.848;23.556;25.482
micro;12:02:46.633;44449.50192862269;87.432;62.345;67.728
micro;12:02:46.773;44449.50193024306;62.516;39.348;43.914
micro;12:02:46.898;44449.50193168981;46.966;24.847;27.376
micro;12:02:47.025;44449.50193315972;37.025;24.031;25.986
micro;12:02:47.162;44449.50193474537;39.913;26.091;28.023
micro;12:02:47.277;44449.50193607638;39.276;24.987;27.049
micro;12:02:47.415;44449.501937673616;35.417;22.913;24.919
micro;12:02:47.537;44449.50193908565;42.607;26.570;29.061
micro;12:02:47.656;44449.501940462964;36.391;23.514;25.496
micro;12:02:47.801;44449.5019421412;36.777;22.731;24.792
micro;12:02:47.924;44449.501943564814;35.269;23.302;25.100
micro;12:02:48.067;44449.501945219905;35.848;23.469;25.356
micro;12:02:48.184;44449.50194657408;37.616;24.653;26.554
micro;12:02:48.303;44449.50194795139;37.953;24.780;26.859
micro;12:02:48.439;44449.50194952547;36.521;24.480;26.327
micro;12:02:48.566;44449.50195099537;36.258;24.032;26.064
micro;12:02:48.704;44449.50195259259;35.563;23.598;25.634
micro;12:02:48.824;44449.50195398148;34.807;22.072;24.045
micro;12:02:48.942;44449.50195534722;36.391;22.889;24.815
micro;12:02:49.070;44449.5019568287;36.124;23.139;25.086
micro;12:02:49.210;44449.50195844907;34.964;23.039;24.769
micro;12:02:49.502;44449.501961828704;35.707;24.702;26.607
micro;12:02:49.640;44449.50196342592;38.790;24.190;26.149
micro;12:02:49.779;44449.501965034724;36.777;24.489;26.236
micro;12:02:49.894;44449.501966365744;35.417;23.786;25.696
micro;12:02:50.020;44449.50196782408;34.964;24.220;25.986
micro;12:02:50.172;44449.50196958333;35.848;23.577;25.664
micro;12:02:50.278;44449.50197081019;34.964;23.278;25.002
micro;12:02:50.421;44449.50197246528;34.964;23.886;25.729
micro;12:02:50.543;44449.50197387731;35.987;23.133;24.976
micro;12:02:50.661;44449.50197524305;36.521;23.446;25.505
micro;12:02:50.796;44449.50197680556;36.902;22.829;24.774
micro;12:02:50.914;44449.5019781713;34.964;23.776;25.542
micro;12:02:56.975;44449.50204832176;36.521;25.501;27.310
micro;12:02:57.119;44449.50204998843;36.521;24.312;26.211
micro;12:02:57.230;44449.50205127315;37.501;22.617;24.734
micro;12:02:57.359;44449.502052766205;37.385;24.421;26.311
micro;12:02:57.502;44449.5020544213;35.987;23.504;25.267
micro;12:02:57.615;44449.50205572917;36.902;25.152;26.877
micro;12:02:57.758;44449.50205738426;36.124;24.365;26.199
micro;12:02:57.867;44449.502058645834;37.385;24.759;26.739
micro;12:02:57.996;44449.50206013889;37.147;24.908;26.799
micro;12:02:58.137;44449.502061770836;37.266;24.652;26.521
micro;12:02:58.257;44449.50206315972;36.124;23.511;25.495
micro;12:02:58.398;44449.50206479167;36.258;24.480;26.222
micro;12:02:58.517;44449.50206616898;35.848;24.001;25.817
micro;12:02:58.638;44449.50206756944;36.521;24.024;26.037
micro;12:02:58.778;44449.50206918981;38.062;23.969;25.886
micro;12:02:58.894;44449.502070532406;35.848;23.262;25.208
micro;12:02:59.042;44449.50207224537;35.269;23.716;25.536
micro;12:02:59.147;44449.50207346065;38.382;23.264;25.383
micro;12:02:59.267;44449.50207484954;35.987;22.850;24.724
micro;12:02:59.407;44449.50207646991;34.964;23.531;25.410
micro;12:02:59.527;44449.50207785879;40.749;23.934;26.006
micro;12:02:59.678;44449.50207960648;38.890;23.189;25.313
micro;12:02:59.797;44449.502080983795;38.988;24.660;26.663
micro;12:02:59.923;44449.50208244213;47.044;26.282;30.144
micro;12:03:00.059;44449.5020840162;39.085;26.667;28.511
micro;12:03:00.176;44449.502085370375;49.426;34.868;37.059
micro;12:03:00.319;44449.50208702547;51.222;31.871;34.532
micro;12:03:00.440;44449.50208842593;35.848;23.830;25.645
micro;12:03:00.559;44449.50208980324;36.650;24.299;26.169
micro;12:03:00.698;44449.50209141204;35.848;24.025;25.728
micro;12:03:00.818;44449.502092800925;34.964;21.970;23.984
micro;12:03:00.948;44449.50209430556;37.842;24.126;26.246
micro;12:03:01.067;44449.50209568287;38.588;24.288;26.307
micro;12:03:01.202;44449.50209724537;34.807;22.497;24.435
micro;12:03:01.337;44449.50209880787;36.258;23.352;25.376
micro;12:03:01.459;44449.50210021991;39.181;22.648;24.793
micro;12:03:01.588;44449.50210171296;36.124;23.457;25.324
micro;12:03:01.708;44449.502103101855;35.707;23.983;25.800
micro;12:03:01.834;44449.50210456019;34.486;23.178;25.125
micro;12:03:01.973;44449.50210616898;39.645;22.342;24.635
micro;12:03:02.094;44449.502107569446;36.391;23.539;25.476
micro;12:03:02.240;44449.50210925926;34.807;23.073;24.954
micro;12:03:02.361;44449.50211065973;35.848;23.533;25.532
micro;12:03:02.474;44449.502111967595;46.769;26.807;29.275
micro;12:03:02.620;44449.50211365741;39.181;25.339;27.316
micro;12:03:02.734;44449.50211497685;36.258;22.772;24.897
micro;12:03:02.880;44449.50211666667;36.777;23.108;25.204
micro;12:03:03.000;44449.502118055556;86.457;50.665;59.287
micro;12:03:03.113;44449.50211936343;87.771;59.379;67.470
micro;12:03:03.258;44449.50212104167;49.278;28.279;30.869
micro;12:03:03.381;44449.502122465274;37.266;24.493;26.411
micro;12:03:03.512;44449.50212398148;38.588;25.851;27.794
micro;12:03:03.649;44449.50212556713;37.501;24.611;26.538
micro;12:03:03.896;44449.50212842593;33.804;23.466;25.241
micro;12:03:04.027;44449.502129942135;38.276;24.863;26.795
micro;12:03:04.170;44449.502131597226;49.542;31.043;33.713
micro;12:03:04.291;44449.50213299769;56.218;33.835;37.064
micro;12:03:04.420;44449.50213449074;64.660;39.662;45.047
micro;12:03:04.531;44449.50213577546;36.777;25.943;27.882
micro;12:03:04.674;44449.50213743055;45.889;27.403;29.705
micro;12:03:04.816;44449.50213907407;42.007;28.025;30.032
micro;12:03:04.935;44449.50214045139;46.848;33.043;35.116
micro;12:03:05.056;44449.50214185185;50.344;35.460;37.587
micro;12:03:05.189;44449.502143391204;39.181;26.159;28.052
micro;12:03:05.315;44449.50214484954;39.085;25.681;27.580
micro;12:03:05.455;44449.50214646991;41.938;26.904;29.012
