battery;time;excel time;level [%];voltage;temperature;mixed
battery;12:07:07.249;44449.50494501158;33.000;3.745;28.400;67.000
battery;12:07:08.269;44449.50495681713;33.000;3.745;28.400;67.000
battery;12:07:09.289;44449.504968622685;33.000;3.745;28.400;67.000
battery;12:07:10.324;44449.50498060185;33.000;3.745;28.400;67.000
battery;12:07:11.331;44449.504992256945;33.000;3.745;28.400;67.000
battery;12:07:12.371;44449.505004293984;33.000;3.745;28.400;67.000
battery;12:07:13.392;44449.505016111114;33.000;3.745;28.400;67.000
battery;12:07:14.411;44449.50502790509;33.000;3.745;28.400;67.000
battery;12:07:15.432;44449.50503972222;33.000;3.745;28.400;67.000
battery;12:07:16.450;44449.50505150463;33.000;3.745;28.400;67.000
battery;12:07:17.493;44449.50506357639;33.000;3.745;28.400;67.000
battery;12:07:18.513;44449.505075381945;33.000;3.745;28.400;67.000
battery;12:07:19.535;44449.50508721065;33.000;3.745;28.400;67.000
battery;12:07:20.554;44449.50509900463;33.000;3.745;28.400;67.000
battery;12:07:21.573;44449.50511079861;33.000;3.745;28.400;67.000
battery;12:07:22.613;44449.505122835646;33.000;3.745;28.400;67.000
battery;12:07:23.633;44449.50513464121;33.000;3.745;28.400;67.000
battery;12:07:24.654;44449.50514645834;33.000;3.745;28.400;67.000
battery;12:07:25.673;44449.505158252316;33.000;3.745;28.400;67.000
battery;12:07:26.692;44449.505170046294;33.000;3.745;28.400;67.000
battery;12:07:27.733;44449.50518209491;33.000;3.745;28.400;67.000
battery;12:07:28.753;44449.50519390046;33.000;3.745;28.400;67.000
battery;12:07:29.773;44449.505205706024;33.000;3.745;28.400;67.000
battery;12:07:30.792;44449.5052175;33.000;3.745;28.400;67.000
battery;12:07:31.812;44449.505229305556;33.000;3.745;28.400;67.000
battery;12:07:32.852;44449.50524134259;33.000;3.745;28.400;67.000
battery;12:07:33.871;44449.50525313657;33.000;3.745;28.400;67.000
battery;12:07:34.894;44449.50526497685;33.000;3.745;28.400;67.000
battery;12:07:35.911;44449.50527674769;33.000;3.745;28.400;67.000
battery;12:07:36.932;44449.50528856482;33.000;3.745;28.400;67.000
battery;12:07:37.974;44449.505300624995;33.000;3.745;28.400;67.000
battery;12:07:38.996;44449.50531245371;33.000;3.745;28.400;67.000
battery;12:07:40.008;44449.50532416667;33.000;3.745;28.400;67.000
battery;12:07:41.028;44449.50533597222;33.000;3.745;28.400;67.000
battery;12:07:42.064;44449.505347962964;33.000;3.745;28.400;67.000
battery;12:07:43.097;44449.505359918985;33.000;3.745;28.400;67.000
battery;12:07:44.108;44449.50537162037;33.000;3.745;28.400;67.000
battery;12:07:45.187;44449.505384108794;33.000;3.745;28.400;67.000
battery;12:07:46.209;44449.5053959375;33.000;3.745;28.400;67.000
battery;12:07:47.249;44449.50540797454;33.000;3.745;28.400;67.000
battery;12:07:48.215;44449.50541915509;33.000;3.745;28.400;67.000
battery;12:07:49.235;44449.50543096065;33.000;3.745;28.400;67.000
battery;12:07:50.255;44449.5054427662;33.000;3.745;28.400;67.000
battery;12:07:51.275;44449.50545457176;33.000;3.745;28.400;67.000
battery;12:07:52.293;44449.50546635417;33.000;3.745;28.400;67.000
battery;12:07:53.334;44449.505478402774;33.000;3.745;28.400;67.000
battery;12:07:54.355;44449.505490219904;33.000;3.745;28.400;67.000
battery;12:07:55.373;44449.505502002314;33.000;3.745;28.400;67.000
battery;12:07:56.394;44449.505513819444;33.000;3.745;28.400;67.000
battery;12:07:57.490;44449.505526504625;33.000;3.745;28.400;67.000
battery;12:07:58.455;44449.50553767361;33.000;3.745;28.400;67.000
battery;12:07:59.473;44449.50554945602;33.000;3.745;28.400;67.000
battery;12:08:00.494;44449.50556127315;33.000;3.745;28.400;67.000
battery;12:08:01.512;44449.505573055554;33.000;3.745;28.400;67.000
battery;12:08:02.532;44449.50558486111;33.000;3.745;28.400;67.000
battery;12:08:03.573;44449.50559690972;33.000;3.745;28.400;67.000
battery;12:08:04.593;44449.50560871528;33.000;3.745;28.400;67.000
battery;12:08:05.612;44449.505620509255;33.000;3.745;28.400;67.000
battery;12:08:06.633;44449.505632326385;33.000;3.745;28.400;67.000
battery;12:08:07.656;44449.50564416667;33.000;3.745;28.400;67.000
battery;12:08:08.693;44449.505656168985;33.000;3.745;28.400;67.000
battery;12:08:09.710;44449.50566793981;33.000;3.745;28.400;67.000
battery;12:08:10.727;44449.50567971065;33.000;3.745;28.400;67.000
battery;12:08:11.749;44449.50569153935;33.000;3.745;28.400;67.000
battery;12:08:12.772;44449.50570337963;33.000;3.745;28.400;67.000
battery;12:08:13.814;44449.50571543982;33.000;3.745;28.400;67.000
battery;12:08:14.832;44449.50572722222;33.000;3.745;28.400;67.000
battery;12:08:15.854;44449.505739050925;33.000;3.745;28.400;67.000
battery;12:08:16.872;44449.505750833334;33.000;3.745;28.400;67.000
battery;12:08:17.892;44449.50576263889;33.000;3.745;28.400;67.000
battery;12:08:18.932;44449.50577467593;33.000;3.745;28.400;67.000
battery;12:08:19.953;44449.50578649306;33.000;3.745;28.400;67.000
battery;12:08:20.972;44449.505798287035;33.000;3.745;28.400;67.000
battery;12:08:21.992;44449.505810092596;33.000;3.745;28.400;67.000
battery;12:08:23.013;44449.50582190973;33.000;3.745;28.400;67.000
battery;12:08:24.057;44449.505833993055;33.000;3.745;28.400;67.000
battery;12:08:25.074;44449.50584576389;33.000;3.745;28.400;67.000
battery;12:08:26.093;44449.50585755787;33.000;3.745;28.400;67.000
battery;12:08:27.111;44449.50586934028;33.000;3.745;28.400;67.000
battery;12:08:28.133;44449.50588116898;33.000;3.745;28.400;67.000
battery;12:08:29.172;44449.505893194444;33.000;3.745;28.400;67.000
battery;12:08:30.191;44449.50590498843;33.000;3.745;28.400;67.000
battery;12:08:31.212;44449.50591680556;33.000;3.745;28.400;67.000
battery;12:08:32.231;44449.50592859954;33.000;3.745;28.400;67.000
battery;12:08:33.249;44449.50594038195;33.000;3.745;28.400;67.000
battery;12:08:34.296;44449.505952499996;33.000;3.745;28.400;67.000
battery;12:08:35.313;44449.50596427084;33.000;3.745;28.400;67.000
battery;12:08:36.333;44449.50597607639;33.000;3.745;28.400;67.000
battery;12:08:37.356;44449.505987916666;33.000;3.745;28.400;67.000
battery;12:08:38.376;44449.50599972223;33.000;3.745;28.400;67.000
battery;12:08:39.414;44449.50601173611;33.000;3.745;28.400;67.000
battery;12:08:40.436;44449.50602356481;33.000;3.745;28.400;67.000
battery;12:08:41.457;44449.50603538194;33.000;3.745;28.400;67.000
battery;12:08:42.474;44449.50604715278;33.000;3.745;28.400;67.000
battery;12:08:43.494;44449.50605895833;33.000;3.745;28.400;67.000
battery;12:08:44.537;44449.50607103009;33.000;3.745;28.400;67.000
battery;12:08:45.556;44449.506082824075;33.000;3.745;28.400;67.000
battery;12:08:46.569;44449.50609454861;33.000;3.745;28.400;67.000
battery;12:08:47.589;44449.506106354165;33.000;3.745;28.400;67.000
battery;12:08:48.607;44449.506118136575;33.000;3.745;28.400;67.000
battery;12:08:49.710;44449.50613090278;33.000;3.745;28.400;67.000
battery;12:08:50.666;44449.50614196759;33.000;3.745;28.400;67.000
battery;12:08:51.691;44449.50615383102;33.000;3.745;28.400;67.000
battery;12:08:52.712;44449.50616564815;33.000;3.745;28.400;67.000
battery;12:08:53.732;44449.5061774537;33.000;3.745;28.400;67.000
battery;12:08:54.772;44449.50618949074;33.000;3.745;28.400;67.000
battery;12:08:55.792;44449.506201296295;33.000;3.745;28.400;67.000
battery;12:08:56.866;44449.506213726854;33.000;3.745;28.400;67.000
battery;12:08:57.834;44449.506224930556;33.000;3.745;28.400;67.000
battery;12:08:58.851;44449.50623670139;33.000;3.745;28.400;67.000
battery;12:08:59.948;44449.50624939815;33.000;3.745;28.400;67.000
battery;12:09:00.906;44449.506260486116;33.000;3.745;28.400;67.000
battery;12:09:01.930;44449.50627233797;33.000;3.745;28.400;67.000
battery;12:09:02.951;44449.5062841551;33.000;3.745;28.400;67.000
battery;12:09:04.050;44449.506296875;33.000;3.745;28.400;67.000
battery;12:09:05.012;44449.50630800926;33.000;3.745;28.400;67.000
battery;12:09:06.031;44449.506319803244;33.000;3.745;28.400;67.000
battery;12:09:07.052;44449.506331620374;33.000;3.745;28.400;67.000
battery;12:09:08.128;44449.50634407408;33.000;3.745;28.400;67.000
battery;12:09:09.098;44449.506355300924;33.000;3.745;28.400;67.000
battery;12:09:10.187;44449.506367905095;33.000;3.745;28.400;67.000
battery;12:09:11.152;44449.506379074075;33.000;3.745;28.400;67.000
battery;12:09:12.230;44449.50639155092;33.000;3.745;28.400;67.000
battery;12:09:13.190;44449.50640266204;33.000;3.745;28.400;67.000
battery;12:09:14.211;44449.50641447917;33.000;3.745;28.400;67.000
battery;12:09:15.253;44449.50642653935;33.000;3.745;28.400;67.000
battery;12:09:16.271;44449.506438321754;33.000;3.745;28.400;67.000
battery;12:09:17.294;44449.506450162036;33.000;3.745;28.400;67.000
battery;12:09:18.310;44449.50646192129;33.000;3.745;28.400;67.000
battery;12:09:19.328;44449.5064737037;33.000;3.745;28.400;67.000
battery;12:09:20.370;44449.50648576389;33.000;3.745;28.400;67.000
battery;12:09:21.389;44449.50649755787;33.000;3.745;28.400;67.000
battery;12:09:22.411;44449.50650938657;33.000;3.745;28.400;67.000
battery;12:09:23.432;44449.5065212037;33.000;3.745;28.400;67.000
battery;12:09:24.453;44449.50653302083;33.000;3.745;28.400;67.000
battery;12:09:25.551;44449.506545729164;33.000;3.745;28.400;67.000
battery;12:09:26.512;44449.50655685185;33.000;3.745;28.400;67.000
battery;12:09:27.530;44449.50656863426;33.000;3.745;28.400;67.000
battery;12:09:28.552;44449.50658046296;33.000;3.745;28.400;67.000
battery;12:09:29.572;44449.50659226852;33.000;3.745;28.400;67.000
battery;12:09:30.612;44449.506604305556;33.000;3.745;28.400;67.000
battery;12:09:31.631;44449.506616099534;33.000;3.745;28.400;67.000
battery;12:09:32.712;44449.50662861111;33.000;3.745;28.400;67.000
battery;12:09:33.671;44449.50663971065;33.000;3.745;28.400;67.000
battery;12:09:34.692;44449.50665152778;33.000;3.745;28.400;67.000
battery;12:09:35.731;44449.50666355324;33.000;3.745;28.400;67.000
battery;12:09:36.746;44449.50667530093;33.000;3.745;28.400;67.000
battery;12:09:37.768;44449.50668712963;33.000;3.745;28.400;67.000
battery;12:09:38.787;44449.50669892361;33.000;3.745;28.400;67.000
battery;12:09:39.808;44449.50671074074;33.000;3.745;28.400;67.000
battery;12:09:40.849;44449.50672278935;33.000;3.745;28.400;67.000
battery;12:09:41.869;44449.50673459491;33.000;3.745;28.400;67.000
battery;12:09:42.889;44449.50674640047;33.000;3.745;28.400;67.000
battery;12:09:43.908;44449.506758194446;33.000;3.745;28.400;67.000
battery;12:09:44.930;44449.506770023145;33.000;3.745;28.400;67.000
battery;12:09:45.969;44449.506782048615;33.000;3.745;28.400;67.000
battery;12:09:46.795;44449.5067916088;33.000;3.747;28.400;68.000
battery;12:09:46.942;44449.50679331018;33.000;3.743;28.500;66.000
battery;12:09:46.984;44449.506793796296;33.000;3.743;28.500;66.000
battery;12:09:47.535;44449.50680017361;33.000;3.743;28.500;66.000
battery;12:09:47.536;44449.50680018519;33.000;3.745;28.400;74.000
